transaction_uuid,transaction_timestamp,transaction_type,source_amount,source_currency,destination_amount,destination_currency,fee_amount,fee_currency,currency_pair,exchange_rate
232d3939-e706-4438-b535-81c164441441,2014-12-05T22:23:30+11:00,buy,20.00,AUD,0.04378384,BTC,0.00087568,BTC,BTC/AUD,456.7895
82826f93-aa15-4cc7-a2d3-3b75e0d2fa9c,2014-12-10T13:20:17+11:00,buy,0.40,AUD,0.00090216,BTC,0.00001804,BTC,BTC/AUD,443.3798
b9b1f098-447d-40b9-a8ca-cfbfe7bb21c7,2014-12-10T14:16:26+11:00,sell,1.00000000,BTC,433.28,AUD,4.33,AUD,BTC/AUD,433.275
571e677c-c19a-4b58-ab80-da1b1ff1c3e6,2014-12-10T14:50:39+11:00,sell,0.00000010,BTC,0.00,AUD,,,BTC/AUD,433.0548
58feb626-c321-4b0d-9048-c848e13444c0,2014-12-10T14:51:31+11:00,sell,0.00000010,BTC,0.00,AUD,,,BTC/AUD,433.0409
cdb419cf-8bea-497a-b0b2-b72ed93b79df,2015-01-08T13:48:34+11:00,buy,2.00,AUD,0.00553766,BTC,0.00011075,BTC,BTC/AUD,361.1634
2c6d8a2b-d3f7-463f-95cb-6836a9062d75,2015-01-08T13:48:58+11:00,sell,3.00000000,BTC,"1,062.63",AUD,10.63,AUD,BTC/AUD,354.211
f54750d2-016e-4661-8005-3c712e546f2a,2015-01-08T13:51:04+11:00,buy,43.39,AUD,0.12000000,BTC,0.87,AUD,BTC/AUD,361.5478
c0594e2e-58b8-44c8-a926-a341702055f3,2015-01-08T15:51:43+11:00,buy,200.00,AUD,0.55086843,BTC,0.01101737,BTC,BTC/AUD,363.0631
df222049-73e2-4416-839b-a3c476ffe820,2015-01-08T15:52:24+11:00,buy,200.00,AUD,0.55102551,BTC,4.00,AUD,BTC/AUD,362.9596
1e1b7644-55e4-4e0f-9ba8-7f516d6a40a8,2015-01-12T16:59:39+11:00,buy,30.00,AUD,0.09042867,BTC,0.00180857,BTC,BTC/AUD,331.7532
db6a09b2-c11b-4ded-9fea-5310ff761f3e,2015-01-13T17:26:55+11:00,sell,10.00000000,BTC,"3,007.74",AUD,30.08,AUD,BTC/AUD,300.7743
aa51aee4-a722-47a9-bc71-4e0da7f34107,2015-01-21T10:11:54+11:00,sell,3.00000000,BTC,428.74,GBP,,,BTC/GBP,142.9125
927b7979-6a06-456d-95bb-acc8742d3d11,2015-01-21T10:19:23+11:00,sell,5.00000000,BTC,714.53,GBP,,,BTC/GBP,142.9059
a62ec0c9-337f-48ff-9a3f-9ce45b1ba2b8,2015-01-21T17:37:30+11:00,sell,1.00000000,BTC,265.14,AUD,,,BTC/AUD,265.137
6924bb6f-be8d-42a7-8255-6f1936451570,2015-01-22T11:29:13+11:00,sell,0.08000000,BTC,22.71,AUD,0.23,AUD,BTC/AUD,283.9074
16ce2cdd-85f8-4179-818d-92839f332177,2015-01-22T11:35:37+11:00,sell,0.09000000,BTC,25.54,AUD,0.26,AUD,BTC/AUD,283.7397
86db9566-4b3c-418d-8a46-7b5fcc8e166d,2015-01-22T12:04:22+11:00,sell,0.30000000,BTC,85.52,AUD,,,BTC/AUD,285.0679
3cf40766-4837-4c06-9bdb-a8b565c73c00,2015-01-22T12:42:55+11:00,sell,0.05000000,BTC,14.37,AUD,,,BTC/AUD,287.3113
e8f389af-086a-41cf-8800-fa33357aa9c1,2015-01-22T14:19:16+11:00,other,0.10,GBP,0.19,AUD,,,GBP/AUD,1.86549
bdd231fb-d3dd-48a0-9e93-c2e5b89676a5,2015-01-23T12:24:16+11:00,sell,3.00000000,BTC,698.04,USD,,,BTC/USD,232.6795
af9b6a74-c6a1-4bd9-a691-9b4ab64163e3,2015-01-23T12:30:01+11:00,sell,3.00000000,BTC,859.92,AUD,,,BTC/AUD,286.6396
b93cc12d-543f-477a-8007-db1db99cbfda,2015-01-23T12:31:31+11:00,sell,3.00000000,BTC,606.08,EUR,,,BTC/EUR,202.0274
46cafb46-7c42-4f54-90ec-1e48721322a1,2015-01-30T17:39:39+11:00,sell,30.00000000,BTC,"4,748.41",GBP,,,BTC/GBP,158.2803
2b0b5b24-08d0-410a-bf26-f86d6edeb16e,2015-02-03T10:43:32+11:00,buy,5.18,GBP,0.03247046,BTC,,,BTC/GBP,159.5296
d2ad549b-f8fd-4f07-8c5a-6f791603af24,2015-02-03T10:44:32+11:00,buy,10.00,GBP,0.06266304,BTC,,,BTC/GBP,159.5837
117daf09-6702-415b-b7cd-9f8f1fb72ed1,2015-02-03T11:15:02+11:00,buy,30.00,AUD,0.09719555,BTC,0.00194391,BTC,BTC/AUD,308.6561
cf404c40-4cfb-4dc8-b83b-b38085c56386,2015-02-03T15:20:43+11:00,other,30.00,EUR,33.84,USD,,,EUR/USD,1.12799
307a9fc8-5370-426d-9df2-2dfb4ac64b32,2015-02-03T17:02:13+11:00,sell,0.16219648,BTC,50.00,AUD,,,BTC/AUD,308.2681
7b36ab72-fe7d-47b2-984c-713d069ce8d9,2015-02-03T17:20:20+11:00,sell,0.16229071,BTC,50.00,AUD,,,BTC/AUD,308.0891
cf2456a4-aaa0-4b0e-aa5f-90148de5a623,2015-02-03T17:33:11+11:00,sell,0.16238184,BTC,50.00,AUD,,,BTC/AUD,307.9162
2cd93584-d0c3-49fb-b740-25a3af041e8d,2015-02-03T17:49:14+11:00,other,1.00,USD,1.30,AUD,,,AUD/USD,0.76976
086aeeb2-ec9f-484f-9901-a455c0f4126c,2015-02-04T10:33:54+11:00,sell,0.17294844,BTC,50.00,AUD,,,BTC/AUD,289.1035
b13b0ec8-4b87-4bde-9492-f0cf786111f2,2015-02-04T15:54:16+11:00,sell,0.17373037,BTC,50.00,AUD,,,BTC/AUD,287.8023
735c5ac7-1664-4930-b259-4baa5e0c18ce,2015-02-04T16:21:01+11:00,sell,0.02771499,BTC,8.00,AUD,,,BTC/AUD,288.6525
ffbc304b-cd97-4f18-ba0e-8200858fa1f8,2015-02-05T11:46:26+11:00,other,1.00,USD,1.28,AUD,,,AUD/USD,0.77992
ad3d70d5-d8ca-401d-8768-ea5cdc5cf484,2015-02-05T15:36:14+11:00,sell,0.17171403,BTC,50.00,AUD,,,BTC/AUD,291.1818
d38e8576-d7e2-4192-b8be-e6ffbfbaea8b,2015-02-05T15:47:49+11:00,sell,0.17194090,BTC,50.00,AUD,,,BTC/AUD,290.7976
f4f40b6b-6abc-4c7e-894d-01c5b6a3e68c,2015-02-05T16:09:17+11:00,sell,0.17252088,BTC,50.00,AUD,,,BTC/AUD,289.82
f9676db3-23ae-4e7f-9f2f-b96e38ed8e32,2015-02-05T16:17:46+11:00,sell,0.17267626,BTC,50.00,AUD,,,BTC/AUD,289.5592
99018352-8b88-4117-9838-b910cf74c5cd,2015-02-05T16:26:29+11:00,sell,0.17356941,BTC,50.00,AUD,,,BTC/AUD,288.0692
c3d2a323-f3e1-4181-a05a-474f39b14b04,2015-02-12T00:23:23+11:00,sell,0.00343255,BTC,1.00,AUD,,,BTC/AUD,291.3282
ba1fa75d-45a9-41d8-a116-32966fba822d,2015-02-12T05:45:46+11:00,buy,3.00,GBP,0.01986409,BTC,,,BTC/GBP,151.0263
3bb1b572-45cc-4dbc-98aa-c93f874fb0b4,2015-02-13T23:44:47+11:00,buy,576.08,EUR,2.70700547,BTC,,,BTC/EUR,212.8108
05696d41-2c14-4966-bd72-3a8a2a69fd02,2015-02-13T23:44:57+11:00,sell,1.00000000,BTC,208.60,EUR,,,BTC/EUR,208.5967
c81b2b1c-860d-4a71-8da8-07d01145687f,2015-03-04T14:54:12+11:00,sell,0.20000000,BTC,71.76,AUD,0.72,AUD,BTC/AUD,358.7984
260fa8a7-d81e-41bf-b4e6-39e732a5861f,2015-03-04T14:54:33+11:00,buy,10.00,GBP,0.05358750,BTC,,,BTC/GBP,186.6107
4a157d75-45bc-4389-8e73-7b46ee1624d3,2015-03-16T12:58:38+11:00,sell,3.00000000,BTC,"1,134.85",AUD,11.35,AUD,BTC/AUD,378.2844
00aac89d-2d41-481f-91ca-cf1f2f628314,2015-03-20T17:58:04+11:00,other,30.00,GBP,57.37,AUD,,,GBP/AUD,1.91229
e95956ba-77f6-4ba0-8388-9c99cef19a31,2015-03-25T15:09:55+11:00,buy,"1,717.95",GBP,10.00000000,BTC,,,BTC/GBP,171.7949
45ec88c7-c180-4982-9491-640496297f5d,2015-03-25T15:12:00+11:00,buy,9.99,GBP,0.05820000,BTC,,,BTC/GBP,171.7286
0a688a82-3120-4f3e-9180-1d20abbc3aa0,2015-03-25T15:14:05+11:00,other,10.00,GBP,18.78,AUD,,,GBP/AUD,1.87787
6b7ae25f-f7e4-4c06-9059-02321e9e5982,2015-03-25T15:14:57+11:00,other,0.53,GBP,1.00,AUD,0.01,GBP,GBP/AUD,1.87787
9bdfc271-d621-42d3-8a15-07fd129f4b35,2015-04-22T12:13:27+10:00,buy,30.00,AUD,0.09659070,BTC,0.00193181,BTC,BTC/AUD,310.5889
e860334c-0a35-4b8c-992f-0a759e03b089,2015-04-22T14:29:03+10:00,sell,1.00000000,BTC,304.46,AUD,3.04,AUD,BTC/AUD,304.4559
36e02ff9-855f-4469-9e63-16511633ef52,2015-04-22T14:49:40+10:00,buy,0.01,AUD,0.00003219,BTC,0.00000064,BTC,BTC/AUD,310.623
8d325de4-3b16-4c73-8984-b8829cf91c94,2015-04-22T14:51:45+10:00,sell,0.00001700,BTC,0.01,AUD,,,BTC/AUD,304.2855
8112d27c-9341-4490-b869-9aac52373ced,2015-04-22T16:29:27+10:00,sell,1.00000000,BTC,303.89,AUD,3.04,AUD,BTC/AUD,303.8942
212487eb-1aab-495d-978e-eaa2b2362e8f,2015-04-22T22:33:58+10:00,sell,0.00003285,BTC,0.01,AUD,0.00000033,BTC,BTC/AUD,304.4475
1724210b-a28e-4f79-91c8-9765bc932215,2015-04-22T22:36:17+10:00,other,0.02,AUD,0.01,GBP,,,GBP/AUD,1.94312
8f289081-31aa-4ebf-a73f-55717536f2bd,2015-04-22T22:37:04+10:00,other,0.02,AUD,0.01,GBP,,,GBP/AUD,1.94312
a5e2ef84-2f31-4454-bb93-6ffe7b1d5114,2015-05-25T09:48:20+10:00,buy,10.00,AUD,0.03214037,BTC,0.00064281,BTC,BTC/AUD,311.1351
68527354-3229-410a-afcf-21ff05c1e943,2015-05-26T13:01:08+10:00,sell,10.00000000,BTC,"3,013.98",AUD,30.14,AUD,BTC/AUD,301.3982
1f2f7728-b34f-4308-8976-d7338e770235,2015-08-05T17:24:02+10:00,sell,0.01000000,BTC,3.79,AUD,0.04,AUD,BTC/AUD,379.9161
f7a0eef9-784c-4c5e-bc4e-6e04f8c26856,2015-08-05T17:25:51+10:00,sell,0.10000000,BTC,37.98,AUD,0.38,AUD,BTC/AUD,379.8735
f9475aea-2a43-45de-8f84-3ea260470725,2015-08-05T17:26:22+10:00,sell,0.01000000,BTC,3.79,AUD,0.04,AUD,BTC/AUD,379.886
037d6646-e771-4edf-9aac-f7bdbe065097,2015-08-05T17:27:17+10:00,sell,0.01000000,BTC,3.79,AUD,0.04,AUD,BTC/AUD,379.9936
b2e85029-5cb3-4ff5-813a-6040b1a4cfbf,2015-08-05T17:28:36+10:00,sell,0.01000000,BTC,3.79,AUD,0.04,AUD,BTC/AUD,379.9499
646bdf9c-d28e-4575-9486-e654cc66564c,2015-08-05T17:29:44+10:00,buy,1.01,AUD,0.00257981,BTC,0.02,AUD,BTC/AUD,387.6259
9de8eaf6-2f7a-48df-bd09-9ff5a74127e1,2015-08-05T17:30:48+10:00,sell,0.10000000,BTC,37.99,AUD,0.38,AUD,BTC/AUD,379.9349
c670d46e-8459-499b-89f6-dd2774adecf0,2015-08-05T17:35:03+10:00,sell,0.10000000,BTC,37.99,AUD,0.38,AUD,BTC/AUD,379.9998
291788b4-ee07-4915-aa3f-d0d1ca92d25a,2015-08-05T17:35:46+10:00,sell,0.10000000,BTC,38.01,AUD,0.38,AUD,BTC/AUD,380.1727
a85f00e0-1948-423e-8bab-f86d7ed7c056,2015-08-05T17:37:06+10:00,sell,0.10000000,BTC,37.99,AUD,0.38,AUD,BTC/AUD,379.9659
d86a1474-229e-41a5-85e4-585261759caa,2015-08-05T17:38:28+10:00,sell,0.10000000,BTC,38.00,AUD,0.38,AUD,BTC/AUD,380.0321
65acf4e1-a470-4661-8e79-78366a3c0f1a,2015-08-05T17:40:52+10:00,sell,0.10000000,BTC,37.97,AUD,0.38,AUD,BTC/AUD,379.7825
1ec44e20-319a-4a36-beef-d0fcb37014fc,2015-08-05T17:41:14+10:00,sell,0.10000000,BTC,37.97,AUD,0.38,AUD,BTC/AUD,379.7825
40864699-0671-49e1-a774-4ba6173b395e,2015-08-05T17:41:51+10:00,sell,0.10000000,BTC,37.98,AUD,0.38,AUD,BTC/AUD,379.8413
c2a26b92-f626-4fe9-9fd9-8cbff0289e52,2015-08-05T17:42:18+10:00,sell,0.10000000,BTC,37.98,AUD,0.38,AUD,BTC/AUD,379.8578
034e302c-c1cd-4629-abfc-8c9f6e8b3fa2,2015-08-05T17:42:51+10:00,sell,0.10000000,BTC,37.98,AUD,0.38,AUD,BTC/AUD,379.8578
5a75b28d-fce2-40b2-a831-6aa85f6d40ee,2015-08-05T17:43:19+10:00,sell,0.10000000,BTC,37.98,AUD,0.38,AUD,BTC/AUD,379.8455
b3c3642f-83a9-405c-bfb0-7248866ecfe3,2015-08-05T17:43:41+10:00,sell,0.10000000,BTC,37.98,AUD,0.38,AUD,BTC/AUD,379.8419
3236a16e-6d7e-49fe-a90e-033358cc752a,2015-08-05T17:44:06+10:00,sell,0.10000000,BTC,37.98,AUD,0.38,AUD,BTC/AUD,379.8552
50f18011-403a-4f37-bc46-3aba36d2de79,2015-08-05T17:44:37+10:00,sell,0.10000000,BTC,37.98,AUD,0.38,AUD,BTC/AUD,379.8596
f2ea92fd-69e3-4ad1-875c-ddda986082a7,2015-08-05T17:51:01+10:00,buy,0.10,GBP,0.00054615,BTC,,,BTC/GBP,183.099
2b70916c-cd25-4342-a788-b33d16dd5b23,2015-08-05T17:51:11+10:00,sell,1.00000000,BTC,379.92,AUD,3.80,AUD,BTC/AUD,379.9266
1a5e99fc-cbf6-44cd-a035-f73128d74e73,2015-08-05T17:51:38+10:00,sell,0.10000000,BTC,37.99,AUD,0.38,AUD,BTC/AUD,379.9092
535c8c18-bfb4-4cda-bf12-55c0899c3d3c,2015-08-05T17:52:15+10:00,sell,0.10000000,BTC,37.99,AUD,0.38,AUD,BTC/AUD,379.9287
14c17187-bf44-4025-8455-66f4fd54305d,2015-08-05T17:53:01+10:00,sell,0.10000000,BTC,37.99,AUD,0.38,AUD,BTC/AUD,379.9642
ef9d0e19-b261-4b6e-91a9-771382684220,2015-08-05T17:53:33+10:00,buy,30.00,AUD,0.07739245,BTC,0.60,AUD,BTC/AUD,387.6347
1e24529d-dbe1-481d-8757-7dfdeb83cc1e,2015-08-05T18:03:50+10:00,sell,0.10000000,BTC,38.04,AUD,0.38,AUD,BTC/AUD,380.4249
d7a5f465-305b-44e6-8275-4bab2a8ea5ef,2015-08-06T11:38:34+10:00,sell,0.10000000,BTC,37.86,AUD,0.38,AUD,BTC/AUD,378.6992
b6f6c1a7-ac39-4557-acba-e3a6b0c682a5,2015-08-06T11:38:58+10:00,sell,0.10000000,BTC,37.87,AUD,0.38,AUD,BTC/AUD,378.7059
dc551f04-fabe-49d4-ab68-53abb8b79242,2015-08-06T11:39:38+10:00,sell,0.10000000,BTC,37.86,AUD,0.38,AUD,BTC/AUD,378.6064
48edbea5-30d8-4272-bf28-3b2fb2f857be,2015-08-06T11:45:53+10:00,sell,0.10000000,BTC,37.87,AUD,0.38,AUD,BTC/AUD,378.7165
d7857d3b-fa65-40ef-aa04-b6a15ffea7ce,2015-08-06T11:46:33+10:00,sell,0.10000000,BTC,37.87,AUD,0.38,AUD,BTC/AUD,378.7873
0430b6a3-9bbc-483b-97db-1c30bf6372f7,2015-08-06T11:46:41+10:00,sell,0.10000000,BTC,37.87,AUD,0.38,AUD,BTC/AUD,378.7873
d20ab351-5fb5-437c-8d91-02e8f33511e0,2015-08-06T11:46:54+10:00,sell,0.10000000,BTC,37.87,AUD,0.38,AUD,BTC/AUD,378.7873
1b191ff9-1438-4017-ac67-c0e94d4e761d,2015-08-06T11:47:04+10:00,sell,0.10000000,BTC,37.87,AUD,0.38,AUD,BTC/AUD,378.7873
81330d23-1414-4efb-ada9-5b583ba1bfd8,2015-08-06T11:47:14+10:00,buy,1.00,AUD,0.00258609,BTC,0.00005172,BTC,BTC/AUD,386.6838
6df6bf4e-dcba-4a40-8c15-7f62102360f5,2015-08-06T11:47:25+10:00,buy,386.69,AUD,1.00000000,BTC,7.73,AUD,BTC/AUD,386.6838
92635698-d41e-4167-abdb-632b822fc913,2015-08-06T11:47:51+10:00,sell,0.10000000,BTC,37.90,AUD,0.38,AUD,BTC/AUD,379.0248
13db5a1b-cfa2-4b58-9a2a-3e9e8f10dda2,2015-08-06T11:50:36+10:00,sell,0.10000000,BTC,37.90,AUD,0.38,AUD,BTC/AUD,379.0143
7cc18137-381b-4707-9018-53f4870c3299,2015-08-06T11:56:44+10:00,sell,0.20000000,BTC,75.79,AUD,0.76,AUD,BTC/AUD,378.963
ee8bc12b-f6b5-416a-9a66-30a1ecf92780,2015-08-06T11:57:16+10:00,sell,0.20000000,BTC,75.79,AUD,0.76,AUD,BTC/AUD,378.9921
4f1dea57-4bc3-4ba8-b80e-f1486425cc5b,2015-08-06T12:03:05+10:00,sell,0.10000000,BTC,37.90,AUD,0.38,AUD,BTC/AUD,379.0536
76865ece-6e77-47b6-96ce-7b3fcf057e7c,2015-08-06T12:03:53+10:00,sell,0.10000000,BTC,37.90,AUD,0.38,AUD,BTC/AUD,379.0481
5dfecc96-9fe7-4ee8-8d72-58412a733840,2015-08-06T12:05:11+10:00,sell,0.10000000,BTC,37.89,AUD,0.38,AUD,BTC/AUD,378.9129
b6fb57c3-5566-4466-bd2d-e67a1b02e0e7,2015-08-06T12:05:27+10:00,sell,0.10000000,BTC,37.88,AUD,0.38,AUD,BTC/AUD,378.8868
2209591d-d4d7-499b-81fb-87e5850be1cd,2015-08-06T12:06:38+10:00,sell,0.20000000,BTC,75.87,AUD,0.76,AUD,BTC/AUD,379.3511
27af81fc-862e-4401-9871-f4466310641e,2015-08-06T12:06:48+10:00,buy,100.00,AUD,0.25838811,BTC,0.00516776,BTC,BTC/AUD,387.0147
c0ec0bb7-daa5-4367-9dc9-b531d2360c38,2015-08-06T12:07:01+10:00,buy,100.00,AUD,0.25838444,BTC,0.00516769,BTC,BTC/AUD,387.0202
3d0b773d-6bf5-4e1e-8f74-b31485eaaf8e,2015-08-06T12:16:43+10:00,sell,0.20000000,BTC,75.92,AUD,,,BTC/AUD,379.6138
ee9ebb83-f8b5-484e-8093-403bfd7d7943,2015-08-06T12:17:17+10:00,buy,10.00,AUD,0.02582093,BTC,0.00051642,BTC,BTC/AUD,387.2827
a342392b-634e-4ec3-8d11-a05e00e588da,2015-08-06T12:23:44+10:00,sell,3.00000000,BTC,"1,138.25",AUD,11.38,AUD,BTC/AUD,379.4179
6a41afe4-6601-4801-abc5-27b201096d57,2015-08-06T12:25:07+10:00,sell,0.10000000,BTC,37.95,AUD,0.38,AUD,BTC/AUD,379.5373
c8a37a52-6a82-494d-b554-a0d7033ed3f6,2015-08-06T12:27:50+10:00,buy,300.00,GBP,1.64730714,BTC,,,BTC/GBP,182.1154
